Date,Open,High,Low,Close,Adj_Close,Volume
2021-10-28,106369,107210,105282,105705,105705,11502900
2021-10-29,105707,105954,103430,103501,103501,12595800
2021-11-01,103514,106136,103514,105551,105551,10734800
2021-11-03,105547,106754,104205,105617,105617,14696900
2021-11-04,105617,105627,102835,103412,103412,12084000
2021-11-05,103412,105555,103412,104824,104824,12595000
2021-11-08,104824,105679,104182,104781,104781,9358000
2021-11-09,104783,106674,104783,105535,105535,11021200
2021-11-10,105535,107407,105140,105968,105968,12277400
2021-11-11,105988,108669,105988,107725,107725,12661400
2021-11-12,107576,107915,105842,106312,106312,13248100
2021-11-16,106336,106971,104113,104508,104508,11579400
2021-11-17,104405,105535,102551,102945,102945,12832200
2021-11-18,102948,103757,102014,102524,102524,10905700
2021-11-19,102426,103975,102143,103035,103035,11101500
2021-11-22,103036,104613,102122,102122,102122,10410000
2021-11-23,102124,103692,101736,103663,103663,13032400
2021-11-24,103652,105041,102464,104514,104514,10466600
2021-11-25,104514,106400,104514,105811,105811,7890400
2021-11-26,105810,105810,101495,102224,102224,10969100
2021-11-29,102227,104149,102226,102814,102814,10283300
2021-11-30,102814,103066,100075,101915,101915,18195100
2021-12-01,101916,104087,100727,100775,100775,13762900
2021-12-02,100785,104466,100785,104466,104466,14846500
2021-12-03,104467,106814,104090,105070,105070,14581500
2021-12-06,105070,107498,105070,106859,106859,11127500
2021-12-07,106868,108655,106868,107558,107558,11773100
2021-12-08,107558,108521,107309,108096,108096,13166800
2021-12-09,106573,106754,105890,106291,106291,11082900
2021-12-10,106296,108275,106296,107758,107758,10466000
2021-12-13,107758,109493,107383,107383,107383,12512300
2021-12-14,107387,109148,106445,106760,106760,11604300
2021-12-15,106763,107603,105697,107370,107370,12663100
2021-12-16,107433,109034,107433,108212,108212,13754600
2021-12-17,108324,108324,106518,107201,107201,14934300
2021-12-20,107171,107171,104358,105020,105020,10570000
2021-12-21,105020,105906,105020,105500,105500,9041600
2021-12-22,105499,105711,104386,105244,105244,8052900
2021-12-23,105251,105453,104637,104891,104891,7283600
2021-12-27,104892,105694,104798,105531,105531,7594900
2021-12-28,105555,105652,104503,104864,104864,7509000
2021-12-29,104863,105190,103851,104107,104107,6590000
2021-12-30,104106,105269,104106,104822,104822,11138100
2022-01-03,104823,106125,103413,103922,103922,11128500
2022-01-04,103922,104276,103096,103514,103514,11491600
2022-01-05,103514,103514,100850,101006,101006,0
2022-01-06,101006,102235,101000,101561,101561,11749200
2022-01-07,101561,102719,101104,102719,102719,11733200
2022-01-10,102719,102719,101038,101945,101945,10264700
2022-01-11,101946,103780,101918,103779,103779,12421500
2022-01-12,103779,105869,103771,105686,105686,13026500
2022-01-13,105686,106251,104974,105530,105530,11712300
2022-01-14,105530,107062,105028,106928,106928,11457100
2022-01-17,106927,106928,106097,106692,106692,6924200
2022-01-18,106369,107013,105786,106522,106522,11221900
2022-01-19,106670,108602,106669,108013,108013,12595600
2022-01-20,108015,109873,108015,109102,109102,13630500
2022-01-21,109097,109786,108368,108942,108942,13408400
2022-01-24,108941,108948,106624,107752,107752,12700800
2022-01-25,107935,110115,107185,109845,109845,13713900
2022-01-26,110207,112695,110204,111573,111573,15513800
2022-01-27,111303,113057,111303,112315,112315,14812000
2022-01-28,112611,112969,111407,111478,111478,13520100
2022-01-31,111910,112495,111195,112388,112388,12190800
2022-02-01,112143,113302,112135,113147,113147,11133300
2022-02-02,113228,113666,111645,112161,112161,11751200
2022-02-03,111897,112502,111225,111696,111696,11039700
2022-02-04,111696,112415,110321,112245,112245,0
2022-02-07,112247,112517,111490,111996,111996,10672800
2022-02-08,111995,112251,110943,112234,112234,10157500
2022-02-09,112233,113163,111710,112461,112461,13794500
2022-02-10,112462,113812,112163,113359,113359,13267900
2022-02-11,113368,114899,113128,113572,113572,18602800
2022-02-14,113643,114167,113358,113807,113807,10757600
2022-02-15,113905,114819,113882,114660,114660,11649600
2022-02-16,114830,115734,114816,115181,115181,12052100
2022-02-17,115181,115214,113389,113528,113528,10807500
2022-02-18,113534,114213,112701,112768,112768,11300700
2022-02-21,112880,113405,111608,111725,111725,7864900
2022-02-22,111727,113315,111727,112892,112892,12707000
2022-02-23,112892,113721,111748,112008,112008,12120600
2022-02-24,112001,112001,109125,111592,111592,16794700
2022-02-25,111591,113142,110673,113142,113142,17555700
2022-03-02,113143,115429,113143,115174,115174,0
2022-03-03,115173,115948,115010,115166,115166,12123000
2022-03-04,115166,115166,113389,114474,114474,10715700
2022-03-07,114469,114529,111140,111593,111593,14057700
2022-03-08,111594,112390,110969,111203,111203,15698500
2022-03-09,111210,114051,111207,113900,113900,14705400
2022-03-10,113900,113939,111889,113663,113663,12984000
2022-03-11,113664,114627,111332,111713,111713,12475800
2022-03-14,111716,112299,109717,109928,109928,10480900
2022-03-15,109925,109925,107781,108959,108959,13653800
2022-03-16,108958,111183,108958,111112,111112,13205200
2022-03-17,111113,113088,111070,113076,113076,14407500
2022-03-18,113076,115311,112475,115311,115311,19552500
2022-03-21,115307,116360,115208,116155,116155,10378700
2022-03-22,116157,117541,116157,117272,117272,11382700
2022-03-23,117270,118270,117036,117457,117457,11083700
2022-03-24,117460,119256,117151,119053,119053,13474400
2022-03-25,119062,119729,118548,119081,119081,13814500
2022-03-28,119082,119444,118061,118738,118738,9167700
2022-03-29,118740,120900,118740,120014,120014,12931900
2022-03-30,120013,120531,119775,120260,120260,10893300
2022-03-31,120261,120880,119999,119999,119999,11202100
2022-04-01,120001,121579,120001,121570,121570,13780900
2022-04-04,121569,121570,120754,121280,121280,8812500
2022-04-05,121279,121628,118794,118885,118885,11788300
2022-04-06,118885,118885,116791,118228,118228,13410800
2022-04-07,118226,119247,117509,118862,118862,11520100
2022-04-08,118861,118868,117487,118322,118322,11225800
